Guilhadeses e Santar,57
Jolda (Madalena) e Rio Cabrao,58
Padreiro (Salvador e Santa Cristina),59
Portela e Extremo,60
Sao Jorge e Ermelo,61
Souto e Tabaco,62
Tavora (Santa Maria e Sao Vicente),63
Vilela, Sao Cosme e Sao Damiao e Sa,64
Caminha,2
Ancora,01
Argela,05
Dem,09
Lanhelas,11
Riba de Ancora,14
Seixas,15
Vila Praia de Ancora,17
Vilar de Mouros,18
Vile,20
Arga (Baixo, Cima e Sao Joao),21
Caminha (Matriz) e Vilarelho,22
Gondar e Orbacem,23
Moledo e Cristelo,24
Venade e Azevedo,25
Melgaco,3
Alvaredo,01
Cousso,04
Cristoval,05
Fiaes,07
Gave,08
Paderne,11
Penso,13
S. Paio,17
Castro Laboreiro e Lamas de Mouro,19
Chaviaes e Pacos,20
Parada do Monte e Cubalhao,21
Prado e Remoaes,22
Vila e Roussas,23
Moncao,4
Abedim,01
Barbeita,04
Barrocas e Taias,05
Bela,06
Cambeses,07
Lara,10
Longos Vales,11
Merufe,15
Moreira,18
Pias,20
Pinheiros,21
Podame,22
Portela,23
Riba de Mouro,24
Segude,27
Tangil,28
Trute,31
Anhoes e Luzio,34
Ceivaes e Badim,35
Mazedo e Cortes,36
Messegaes, Valadares e Sa,37
Moncao e Troviscoso,38
Sago, Lordelo e Parada,39
Troporiz e Lapela,40
Paredes de Coura,5
Agualonga,01
Castanheira,03
Coura,05
Cunha,07
Infesta,10
Mozelos,13
Padornelo,14
Parada,15
Romarigaes,19
Rubiaes,20
Vascoes,21
Bico e Cristelo,22
Cossourado e Linhares,23
Formariz e Ferreira,24
Insalde e Porreiras,25
Paredes de Coura e Resende,26
Ponte da Barca,6
Azias,01
Boivaes,02
Bravaes,03
Britelo,04
Cuide de Vila Verde,06
Lavradas,11
Lindoso,12
Nogueira,13
Oleiros,14
Sampriz,19
Vade (S. Pedro),23
Vade (S. Tome),24
Crasto, Ruivos e Grovelas,26
Entre Ambos-Os-Rios, Ermida e Germil,27
Ponte da Barca, V.N. Muia, Paco Vedro Magalhaes,28
Touvedo (Sao Lourenco e Salvador),29
Vila Cha (Sao Joao Baptista e Santiago),30
Ponte de Lima,7
Anais,01
Sao Pedro de Arcos,03
Arcozelo,04
Beiral do Lima,07
Bertiandos,08
Boalhosa,09
Brandara,10
Calheiros,13
Calvelo,14
Correlha,16
Estoraos,17
Facha,18
Feitosa,19
Fontao,21
Friastelas,24
Gandra,26
Gemieira,27
Gondufe,28
Labruja,29
Poiares,34
Refoios do Lima,37
Ribeira,39
Sa,40
Santa Comba,42
Santa Cruz do Lima,43
Rebordoes (Santa Maria),44
Seara,45
Serdedelo,46
Rebordoes (Souto),47
Vitorino Das Donas,50
Arca e Ponte de Lima,52
Ardegao, Freixo e Mato,53
Associacao de Freguesias do Vale do Neiva,54
Barrio e Cepoes,55
Cabacos e Fojo Lobal,56
Cabracao e Moreira do Lima,57
Fornelos e Queijada,58
Labrujo, Rendufe e Vilar do Monte,59
Navio e Vitorino Dos Piaes,60
Valenca,8
Boivao,02
Cerdal,03
Fontoura,05
Friestas,06
Ganfei,08
S. Pedro da Torre,12
Verdoejo,16
Gandra e Taiao,17
Gondomil e Sanfins,18
Sao Juliao e Silva,19
Valenca, Cristelo Covo e Arao,20
Viana do Castelo,9
Afife,01
Alvaraes,02
Amonde,03
Vila Nova de Anha,04
Areosa,05
Carreco,08
Castelo do Neiva,10
Darque,11
Freixieiro de Soutelo,14
Lanheses,15
Montaria,20
Mujaes,22
Sao Romao de Neiva,23
Outeiro,25
Perre,26
Santa Marta de Portuzelo,28
Vila Franca,35
Vila de Punhe,38
Chafe,40
Barroselas e Carvoeiro,41
Cardielos e Serreleis,42
Geraz do Lima (S.Maria, S.Leocadia, Moreira), Deao,43
Mazarefes e Vila Fria,44
Nogueira, Meixedo e Vilar de Murteda,45
Subportela, Deocriste e Portela Susa,46
Torre e Vila Mou,47
Santa Maria Maior e Monserrate e Meadela,48
Vila Nova de Cerveira,10
Cornes,03
Covas,04
Gondarem,06
Loivo,07
Mentrestido,09
Sapardos,12
Sopo,13
Campos e Vila Mea,16
Candemil e Gondar,17
Reboreda e Nogueira,18
Vila Nova de Cerveira e Lovelhe,19
SETUBAL,15
Alcacer do Sal,1
Torrao,04
S. Martinho,05
Comporta,06
Santa Maria do Castelo e Santiago e Santa Susana,07
Alcochete,2
Alcochete,01
Samouco,02
S. Francisco,03
Almada,3
Costa da Caparica,03
Almada, Cova da Piedade, Pragal e Cacilhas,12
Caparica e Trafaria,13
Charneca de Caparica e Sobreda,14
Laranjeiro e Feijo,15
Barreiro,4
Santo Antonio da Charneca,07
Alto do Seixalinho, Santo Andre e Verderena,09
Barreiro e Lavradio,10
Palhais e Coina,11
Grandola,5
Azinheira Dos Barros e Sao Mamede do Sadao,01
Melides,03
Carvalhal,05
Grandola e Santa Margarida da Serra,06
Moita,6
Alhos Vedros,01
Moita,03
Baixa da Banheira e Vale da Amoreira,07
Gaio-Rosario e Sarilhos Pequenos,08
Montijo,7
Canha,01
Sarilhos Grandes,04
Atalaia e Alto Estanqueiro-Jardia,09
Montijo e Afonsoeiro,10
Pegoes,11
Palmela,8
Palmela,02
Pinhal Novo,03
Quinta do Anjo,04
Poceirao e Marateca,06
Santiago do Cacem,9
Abela,01
Alvalade,02
Cercal,03
Ermidas-Sado,04
Santo Andre,07
S. Francisco da Serra,10
Santiago do Cacem, S.Cruz e S.Bartolomeu da Serra,12
Sao Domingos e Vale de Agua,13
Seixal,10
Amora,02
Corroios,05
Fernao Ferro,06
Seixal, Arrentela e Aldeia de Paio Pires,07
Sesimbra,11
Sesimbra (Castelo),01
Sesimbra (Santiago),02
Quinta do Conde,03
Setubal,12
Setubal (S. Sebastiao),05
Gambia-Pontes-Alto da Guerra,07
Sado,08
Azeitao (Sao Lourenco e Sao Simao),09
S.Juliao, N.S. da Anunciada e S.Maria da Graca,10
Sines,13
Sines,01
Porto Covo,02
SANTAREM,14
Abrantes,1
Bemposta,04
Martinchel,05
Mouriscas,06
Pego,07
Rio de Moinhos,08
Tramagal,15
Fontes,18
Carvalhal,19
Abrantes (Sao Vicente e Sao Joao) e Alferrarede,20
Aldeia do Mato e Souto,21
Alvega e Concavada,22
Sao Facundo e Vale Das Mos,23
Sao Miguel do Rio Torto e Rossio Ao Sul do Tejo,24
Alcanena,2
Bugalhos,02
Minde,06
Moitas Venda,07
Monsanto,08
Serra de Santo Antonio,09
Alcanena e Vila Moreira,11
Malhou, Louriceira e Espinheiro,12
Almeirim,3
Almeirim,01
Benfica do Ribatejo,02
Fazendas de Almeirim,03
Raposa,04
